,block,plot,site,year,treatment,grass,forb,woody,dead,cactus,anpp,anpp_with_woody,nitrogen
18,A,1,SGS,2021,N,99.9,6,0,1.65,0,105.9,105.9,30
70,A,2,SGS,2021,N,77.05,111.3,0,0.55,0,188.35,188.35,20
104,A,3,SGS,2021,N,84.6,162.4,0,0,0,247,247,10
109,A,4,SGS,2021,N,24.6,103.15,0,0.65,0,127.75,127.75,15
169,A,5,SGS,2021,N,175.2,0,0,3.95,0,175.2,175.2,5
208,A,6,SGS,2021,N,119.05,2.7,0,2.6,0,121.75,121.75,0
243,A,7,SGS,2021,N,182.2,3.7,0,3.15,152.4,185.9,185.9,7.5
269,A,8,SGS,2021,N,119.55,0.6,0,4.5,0,120.15,120.15,2.5
300,B,10,SGS,2021,N,155.55,28.25,0,6.85,0,183.8,183.8,2.5
319,B,11,SGS,2021,N,45.25,35.95,0,1.2,0,81.2,81.2,7.5
348,B,12,SGS,2021,N,54.85,136.35,0,0.7,0,191.2,191.2,20
383,B,13,SGS,2021,N,81.9,16.1,0,0.65,0,98,98,5
436,B,14,SGS,2021,N,156.2,0,0,4.05,0,156.2,156.2,30
472,B,15,SGS,2021,N,260.7,0.75,0,7.15,0,261.45,261.45,10
504,B,16,SGS,2021,N,36.4,361.45,0,0.6,63.5,397.85,397.85,15
528,B,9,SGS,2021,N,87.1,24.9,0,0.85,0,112,112,0
581,C,17,SGS,2021,N,79.75,0,0,0.3,0,79.75,79.75,5
597,C,18,SGS,2021,N,20,145.4,0,0,450,165.4,165.4,20
662,C,19,SGS,2021,N,28.85,362.45,0,0,0,391.3,391.3,10
689,C,20,SGS,2021,N,133.55,41.8,0,7.9,0,175.35,175.35,30
722,C,21,SGS,2021,N,37.95,3.6,0,1.95,0,41.55,41.55,0
733,C,22,SGS,2021,N,132.65,3.5,0,4.6,0,136.15,136.15,2.5
773,C,23,SGS,2021,N,294.4,0,0,3.1,0,294.4,294.4,7.5
805,C,24,SGS,2021,N,20.15,310.7,0,2.5,0,330.85,330.85,15
865,D,25,SGS,2021,N,90.1,4.9,0,4.35,50.8,95,95,2.5
907,D,26,SGS,2021,N,163.4,2.95,0,4.9,0,166.35,166.35,5
937,D,27,SGS,2021,N,87.55,18.8,0,0.3,0,106.35,106.35,15
968,D,28,SGS,2021,N,40.5,1.4,0,0.6,0,41.9,41.9,7.5
1006,D,29,SGS,2021,N,51.95,105,0,1.2,0,156.95,156.95,30
1029,D,30,SGS,2021,N,127.1,0,0,5.6,0,127.1,127.1,0
1066,D,31,SGS,2021,N,99.9,14.9,0,3.15,0,114.8,114.8,10
1099,D,32,SGS,2021,N,110.5,13.5,0,0.9,0,124,124,20
1149,E,33,SGS,2021,N,86.4,32.15,0,4.45,0,118.55,118.55,0
1187,E,34,SGS,2021,N,25.95,41.6,0,0,0,67.55,67.55,20
1209,E,35,SGS,2021,N,21.3,107.95,0,0,0,129.25,129.25,30
1244,E,36,SGS,2021,N,47.15,1.65,0,0.8,0,48.8,48.8,5
1274,E,37,SGS,2021,N,145.25,9.6,0,1.95,0,154.85,154.85,2.5
1297,E,38,SGS,2021,N,2.25,132.65,0,1.45,0,134.9,134.9,15
1331,E,39,SGS,2021,N,46.65,52.55,1,1.65,0,99.2,100.2,7.5
1369,E,40,SGS,2021,N,115.45,0,0,2.6,0,115.45,115.45,10
1419,F,41,SGS,2021,N,108.6,4.45,0,0.35,0,113.05,113.05,20
1438,F,42,SGS,2021,N,72.65,49.45,0,1.4,0,122.1,122.1,30
1497,F,43,SGS,2021,N,98.25,9,0,1.45,0,107.25,107.25,5
1521,F,44,SGS,2021,N,72.65,0,0,1.15,0,72.65,72.65,10
1562,F,45,SGS,2021,N,68.05,15.9,0,4.3,0,83.95,83.95,0
1600,F,46,SGS,2021,N,56.75,87.35,0,1.65,0,144.1,144.1,7.5
1610,F,47,SGS,2021,N,128.65,0.65,0,1.45,0,129.3,129.3,15
1661,F,48,SGS,2021,N,155.35,24.35,0,1.25,0,179.7,179.7,2.5
20,A,1,SGS,2022,N,0,25.25,0,0,0,25.25,25.25,30
65,A,2,SGS,2022,N,0.55,41.15,0,0,0,41.7,41.7,20
81,A,3,SGS,2022,N,0.55,17.5,0,0,0,18.05,18.05,10
123,A,4,SGS,2022,N,4.3,17.85,0,0,0,22.15,22.15,15
172,A,5,SGS,2022,N,0.75,0,0,0,16.15,0.75,0.75,5
187,A,6,SGS,2022,N,1.65,0.75,0,0,0,2.4,2.4,0
232,A,7,SGS,2022,N,5.25,1.9,0,0,0,7.15,7.15,7.5
259,A,8,SGS,2022,N,2.35,38.3,0,0,0,40.65,40.65,2.5
307,B,10,SGS,2022,N,1.15,14.95,0,0,0,16.1,16.1,2.5
335,B,11,SGS,2022,N,0,64.3,0,0,0,64.3,64.3,7.5
361,B,12,SGS,2022,N,0.05,17.9,0,0,0,17.95,17.95,20
410,B,13,SGS,2022,N,2.25,10,0,0,0,12.25,12.25,5
452,B,14,SGS,2022,N,0,60.2,0,0,0,60.2,60.2,30
464,B,15,SGS,2022,N,0,60.45,0,0,0,60.45,60.45,10
498,B,16,SGS,2022,N,0,11.95,0,0,0,11.95,11.95,15
555,B,9,SGS,2022,N,3.1,5.65,0,0,0,8.75,8.75,0
585,C,17,SGS,2022,N,11.6,5.4,0,0,0,17,17,5
622,C,18,SGS,2022,N,1.05,16.8,0,0,0,17.85,17.85,20
640,C,19,SGS,2022,N,1.5,4.25,0,0,0,5.75,5.75,10
667,C,20,SGS,2022,N,4.65,9.2,0,0,0,13.85,13.85,30
706,C,21,SGS,2022,N,12.95,2.8,0,0,0,15.75,15.75,0
745,C,22,SGS,2022,N,3.1,0.75,0,0,0,3.85,3.85,2.5
802,C,23,SGS,2022,N,0,12.55,0,0,0,12.55,12.55,7.5
832,C,24,SGS,2022,N,0,22.95,0,0,0,22.95,22.95,15
849,D,25,SGS,2022,N,2.75,4.1,0,0,0,6.85,6.85,2.5
884,D,26,SGS,2022,N,1.3,0.1,0,0,0,1.4,1.4,5
938,D,27,SGS,2022,N,1.35,9.7,0,0,0,11.05,11.05,15
976,D,28,SGS,2022,N,0.65,11.85,0,0,0,12.5,12.5,7.5
1001,D,29,SGS,2022,N,0,8.35,0,0,0,8.35,8.35,30
1025,D,30,SGS,2022,N,2,0.1,0,0,0,2.1,2.1,0
1082,D,31,SGS,2022,N,4.8,13.8,0,0,0,18.6,18.6,10
1109,D,32,SGS,2022,N,1.55,19,0,0,0,20.55,20.55,20
1144,E,33,SGS,2022,N,8.5,22.6,0,0,0,31.1,31.1,0
1156,E,34,SGS,2022,N,15.85,3.65,0,0,0,19.5,19.5,20
1210,E,35,SGS,2022,N,0.25,11.25,0,0,0,11.5,11.5,30
1257,E,36,SGS,2022,N,2.05,9.4,0,0,0,11.45,11.45,5
1266,E,37,SGS,2022,N,1.8,10.05,0,0,64.5,11.85,11.85,2.5
1309,E,38,SGS,2022,N,0,13.6,0,0,0,13.6,13.6,15
1343,E,39,SGS,2022,N,5.9,22.45,0,0,0,28.35,28.35,7.5
1365,E,40,SGS,2022,N,0.65,10.35,0,0,96.75,11,11,10
1404,F,41,SGS,2022,N,1.9,11.4,0,0,0,13.3,13.3,20
1447,F,42,SGS,2022,N,0,15.6,0,0,0,15.6,15.6,30
1493,F,43,SGS,2022,N,0.85,48,0,0,0,48.85,48.85,5
1508,F,44,SGS,2022,N,0,29.85,0,0,0,29.85,29.85,10
1571,F,45,SGS,2022,N,2.25,8.45,0,0,225.8,10.7,10.7,0
1606,F,46,SGS,2022,N,2.8,30,0,0,0,32.8,32.8,7.5
1639,F,47,SGS,2022,N,0,6.4,0,0,0,6.4,6.4,15
1669,F,48,SGS,2022,N,3.4,5.1,0,0,0,8.5,8.5,2.5
35,A,1,SGS,2021,PP1,89.95,172.85,0,0,0,262.8,262.8,30
38,A,2,SGS,2021,PP1,0,8.1,0,0,0,8.1,8.1,20
77,A,3,SGS,2021,PP1,62.3,177.7,0,0,0,240,240,10
120,A,4,SGS,2021,PP1,14.3,88.9,0,0,0,103.2,103.2,15
174,A,5,SGS,2021,PP1,68.4,36.2,0,0.2,0,104.6,104.6,5
200,A,6,SGS,2021,PP1,68.5,1.45,0,0,0,69.95,69.95,0
244,A,7,SGS,2021,PP1,319.4,0,0,7.6,0,319.4,319.4,7.5
257,A,8,SGS,2021,PP1,161.15,0.35,0,4.55,0,161.5,161.5,2.5
288,B,10,SGS,2021,PP1,98,18.5,0,0,0,116.5,116.5,2.5
318,B,11,SGS,2021,PP1,75.15,67.3,0,0.95,0,142.45,142.45,7.5
360,B,12,SGS,2021,PP1,26.4,38.55,0,0.5,0,64.95,64.95,20
392,B,13,SGS,2021,PP1,167.15,8.65,0,0.6,0,175.8,175.8,5
423,B,14,SGS,2021,PP1,215.95,0,0,2.65,0,215.95,215.95,30
478,B,15,SGS,2021,PP1,68.1,169.05,0,1.4,0,237.15,237.15,10
507,B,16,SGS,2021,PP1,2.25,261.65,0,0,0,263.9,263.9,15
542,B,9,SGS,2021,PP1,118.7,44.35,0,1.15,0,163.05,163.05,0
561,C,17,SGS,2021,PP1,96.45,14.2,0,2.55,0,110.65,110.65,5
598,C,18,SGS,2021,PP1,103.55,25.2,0,1.3,0,128.75,128.75,20
660,C,19,SGS,2021,PP1,218,29.5,0,3.45,0,247.5,247.5,10
668,C,20,SGS,2021,PP1,150.3,10.35,0,6.5,0,160.65,160.65,30
719,C,21,SGS,2021,PP1,88.55,7.55,0,0.35,0,96.1,96.1,0
734,C,22,SGS,2021,PP1,172.35,1.7,0,2.15,0,174.05,174.05,2.5
779,C,23,SGS,2021,PP1,31.65,58.45,0,0,0,90.1,90.1,7.5
824,C,24,SGS,2021,PP1,127.35,0,0,1.15,0,127.35,127.35,15
856,D,25,SGS,2021,PP1,103.3,0,0,1.7,0,103.3,103.3,2.5
891,D,26,SGS,2021,PP1,104.75,28.55,0,0.85,0,133.3,133.3,5
925,D,27,SGS,2021,PP1,27.1,0,0,0.2,0,27.1,27.1,15
967,D,28,SGS,2021,PP1,146.3,126.3,0,0.55,0,272.6,272.6,7.5
994,D,29,SGS,2021,PP1,41.25,33.05,0,0.6,0,74.3,74.3,30
1034,D,30,SGS,2021,PP1,80.5,0.6,0,0.6,0,81.1,81.1,0
1072,D,31,SGS,2021,PP1,356.35,2.05,0,9.1,0,358.4,358.4,10
1111,D,32,SGS,2021,PP1,141.3,27.85,0,0.4,0,169.15,169.15,20
1151,E,33,SGS,2021,PP1,96.65,1.1,0,2.4,38.1,97.75,97.75,0
1177,E,34,SGS,2021,PP1,17.2,128.45,0,0.6,0,145.65,145.65,20
1199,E,35,SGS,2021,PP1,93.8,7.85,0,0.65,0,101.65,101.65,30
1227,E,36,SGS,2021,PP1,229.45,9.05,0,3.75,0,238.5,238.5,5
1261,E,37,SGS,2021,PP1,161.3,10.05,0,2.95,0,171.35,171.35,2.5
1295,E,38,SGS,2021,PP1,59.8,243.1,0,0.4,0,302.9,302.9,15
1332,E,39,SGS,2021,PP1,39.8,205.05,0,0,0,244.85,244.85,7.5
1395,E,40,SGS,2021,PP1,94.45,156.95,0,0.8,0,251.4,251.4,10
1425,F,41,SGS,2021,PP1,97.15,0,0,0.75,0,97.15,97.15,20
1458,F,42,SGS,2021,PP1,44.1,3.3,0,0.65,0,47.4,47.4,30
1479,F,43,SGS,2021,PP1,200.65,2.05,0,0.25,0,202.7,202.7,5
1504,F,44,SGS,2021,PP1,173.25,6.35,0,0.8,0,179.6,179.6,10
1550,F,45,SGS,2021,PP1,101.1,2.35,0,1.1,0,103.45,103.45,0
1578,F,46,SGS,2021,PP1,203,7.2,0,2.35,0,210.2,210.2,7.5
1640,F,47,SGS,2021,PP1,156.45,48.7,0,3.25,0,205.15,205.15,15
1649,F,48,SGS,2021,PP1,194.15,1,0,1.55,0,195.15,195.15,2.5
9,A,1,SGS,2022,PP2,1.55,75.2,0,0,0,76.75,76.75,30
63,A,2,SGS,2022,PP2,0.9,106.2,0,0,0,107.1,107.1,20
96,A,3,SGS,2022,PP2,0,128.2,0,0,0,128.2,128.2,10
128,A,4,SGS,2022,PP2,3.75,153.2,0,0,0,156.95,156.95,15
158,A,5,SGS,2022,PP2,1.5,121.6,0,0,0,123.1,123.1,5
180,A,6,SGS,2022,PP2,9.4,0,0,0,0,9.4,9.4,0
212,A,7,SGS,2022,PP2,1.3,0,0,0,0,1.3,1.3,7.5
271,A,8,SGS,2022,PP2,0,72.3,0,0,0,72.3,72.3,2.5
289,B,10,SGS,2022,PP2,1.5,146.05,0,0,0,147.55,147.55,2.5
314,B,11,SGS,2022,PP2,0,112.3,0,0,0,112.3,112.3,7.5
363,B,12,SGS,2022,PP2,0,59.25,0,0,0,59.25,59.25,20
417,B,13,SGS,2022,PP2,3.7,41.8,0,0,0,45.5,45.5,5
439,B,14,SGS,2022,PP2,0,6.05,0,0,0,6.05,6.05,30
467,B,15,SGS,2022,PP2,0,262.8,0,0,0,262.8,262.8,10
506,B,16,SGS,2022,PP2,0,61.75,0,0,0,61.75,61.75,15
553,B,9,SGS,2022,PP2,2,65.4,0,0,48.4,67.4,67.4,0
575,C,17,SGS,2022,PP2,2.6,31.4,0,0,0,34,34,5
602,C,18,SGS,2022,PP2,12.4,131.35,0,0,0,143.75,143.75,20
637,C,19,SGS,2022,PP2,0,75.5,0,0,0,75.5,75.5,10
693,C,20,SGS,2022,PP2,0,106.6,0,0,0,106.6,106.6,30
698,C,21,SGS,2022,PP2,2.95,29.85,0,0,96.75,32.8,32.8,0
764,C,22,SGS,2022,PP2,15,42,0,0,0,57,57,2.5
791,C,23,SGS,2022,PP2,0,1.6,0,0,0,1.6,1.6,7.5
812,C,24,SGS,2022,PP2,5.1,116.7,0,0,0,121.8,121.8,15
852,D,25,SGS,2022,PP2,3.85,2.7,0,0,483.85,6.55,6.55,2.5
905,D,26,SGS,2022,PP2,37.45,8.7,0,0,0,46.15,46.15,5
936,D,27,SGS,2022,PP2,2.55,53.45,0,0,0,56,56,15
945,D,28,SGS,2022,PP2,0.25,134.1,0,0,0,134.35,134.35,7.5
1003,D,29,SGS,2022,PP2,0,74.25,0,0,0,74.25,74.25,30
1038,D,30,SGS,2022,PP2,15.75,33.3,0,0,129.05,49.05,49.05,0
1077,D,31,SGS,2022,PP2,3.85,124.55,0,0,0,128.4,128.4,10
1107,D,32,SGS,2022,PP2,0.3,67.1,0,0,0,67.4,67.4,20
1135,E,33,SGS,2022,PP2,8.3,7.05,0,0,0,15.35,15.35,0
1169,E,34,SGS,2022,PP2,0,58.5,0,0,0,58.5,58.5,20
1222,E,35,SGS,2022,PP2,0,92.8,0,0,0,92.8,92.8,30
1242,E,36,SGS,2022,PP2,2.4,84.65,0,0,0,87.05,87.05,5
1268,E,37,SGS,2022,PP2,9.05,78.75,0,0,0,87.8,87.8,2.5
1293,E,38,SGS,2022,PP2,0,117.1,0,0,0,117.1,117.1,15
1340,E,39,SGS,2022,PP2,13.55,5.15,0,0,0,18.7,18.7,7.5
1366,E,40,SGS,2022,PP2,2,123.05,0,0,0,125.05,125.05,10
1430,F,41,SGS,2022,PP2,7.05,42.05,0,0,0,49.1,49.1,20
1441,F,42,SGS,2022,PP2,1.55,70.8,0,0,0,72.35,72.35,30
1480,F,43,SGS,2022,PP2,1.2,80.45,0,0,0,81.65,81.65,5
1519,F,44,SGS,2022,PP2,13.8,52.6,0,0,0,66.4,66.4,10
1555,F,45,SGS,2022,PP2,15.3,20.85,0,0,96.75,36.15,36.15,0
1605,F,46,SGS,2022,PP2,6.4,69.8,0,0,0,76.2,76.2,7.5
1629,F,47,SGS,2022,PP2,7.3,85.15,0,0,0,92.45,92.45,15
1671,F,48,SGS,2022,PP2,0,77.8,0,0,483.85,77.8,77.8,2.5
