,site,year,date,precipitation_mm,precipitation_summed_mm,doy,dom,month
245,sgs,2021,1/1/2021,0,0,1,1,1
246,sgs,2021,1/2/2021,0,0,2,2,1
247,sgs,2021,1/3/2021,0,0,3,3,1
248,sgs,2021,1/4/2021,0,0,4,4,1
249,sgs,2021,1/5/2021,0,0,5,5,1
250,sgs,2021,1/6/2021,0,0,6,6,1
251,sgs,2021,1/7/2021,0,0,7,7,1
252,sgs,2021,1/8/2021,0,0,8,8,1
253,sgs,2021,1/9/2021,0,0,9,9,1
254,sgs,2021,1/10/2021,1.524,1.524,10,10,1
255,sgs,2021,1/11/2021,0.254,1.778,11,11,1
256,sgs,2021,1/12/2021,0,1.778,12,12,1
257,sgs,2021,1/13/2021,0,1.778,13,13,1
258,sgs,2021,1/14/2021,17.526,19.304,14,14,1
259,sgs,2021,1/15/2021,2.54,21.844,15,15,1
260,sgs,2021,1/16/2021,26.416,48.26,16,16,1
261,sgs,2021,1/17/2021,0,48.26,17,17,1
262,sgs,2021,1/18/2021,0,48.26,18,18,1
263,sgs,2021,1/19/2021,0,48.26,19,19,1
264,sgs,2021,1/20/2021,0,48.26,20,20,1
265,sgs,2021,1/21/2021,0,48.26,21,21,1
266,sgs,2021,1/22/2021,0,48.26,22,22,1
267,sgs,2021,1/23/2021,0,48.26,23,23,1
268,sgs,2021,1/24/2021,0,48.26,24,24,1
269,sgs,2021,1/25/2021,0,48.26,25,25,1
270,sgs,2021,1/26/2021,0,48.26,26,26,1
271,sgs,2021,1/27/2021,0,48.26,27,27,1
272,sgs,2021,1/28/2021,0.254,48.514,28,28,1
273,sgs,2021,1/29/2021,0,48.514,29,29,1
274,sgs,2021,1/30/2021,0,48.514,30,30,1
275,sgs,2021,1/31/2021,0,48.514,31,31,1
276,sgs,2021,2/1/2021,0,48.514,32,1,2
277,sgs,2021,2/2/2021,0,48.514,33,2,2
278,sgs,2021,2/3/2021,0,48.514,34,3,2
279,sgs,2021,2/4/2021,0.762,49.276,35,4,2
280,sgs,2021,2/5/2021,0,49.276,36,5,2
281,sgs,2021,2/6/2021,0,49.276,37,6,2
282,sgs,2021,2/7/2021,0,49.276,38,7,2
283,sgs,2021,2/8/2021,0,49.276,39,8,2
284,sgs,2021,2/9/2021,0,49.276,40,9,2
285,sgs,2021,2/10/2021,0,49.276,41,10,2
286,sgs,2021,2/11/2021,0,49.276,42,11,2
287,sgs,2021,2/12/2021,0,49.276,43,12,2
288,sgs,2021,2/13/2021,0,49.276,44,13,2
289,sgs,2021,2/14/2021,0,49.276,45,14,2
290,sgs,2021,2/15/2021,0,49.276,46,15,2
291,sgs,2021,2/16/2021,0,49.276,47,16,2
292,sgs,2021,2/17/2021,0,49.276,48,17,2
293,sgs,2021,2/18/2021,0.508,49.784,49,18,2
294,sgs,2021,2/19/2021,0.254,50.038,50,19,2
295,sgs,2021,2/20/2021,0,50.038,51,20,2
296,sgs,2021,2/21/2021,0,50.038,52,21,2
297,sgs,2021,2/22/2021,0,50.038,53,22,2
298,sgs,2021,2/23/2021,4.318,54.356,54,23,2
299,sgs,2021,2/24/2021,0,54.356,55,24,2
300,sgs,2021,2/25/2021,0,54.356,56,25,2
301,sgs,2021,2/26/2021,0.254,54.61,57,26,2
302,sgs,2021,2/27/2021,0.254,54.864,58,27,2
303,sgs,2021,2/28/2021,0,54.864,59,28,2
304,sgs,2021,3/1/2021,0,54.864,60,1,3
305,sgs,2021,3/2/2021,0,54.864,61,2,3
306,sgs,2021,3/3/2021,0,54.864,62,3,3
307,sgs,2021,3/4/2021,0,54.864,63,4,3
308,sgs,2021,3/5/2021,0,54.864,64,5,3
309,sgs,2021,3/6/2021,0,54.864,65,6,3
310,sgs,2021,3/7/2021,0,54.864,66,7,3
311,sgs,2021,3/8/2021,0,54.864,67,8,3
312,sgs,2021,3/9/2021,0,54.864,68,9,3
313,sgs,2021,3/10/2021,0,54.864,69,10,3
314,sgs,2021,3/11/2021,0.508,55.372,70,11,3
315,sgs,2021,3/12/2021,0,55.372,71,12,3
316,sgs,2021,3/13/2021,0.508,55.88,72,13,3
317,sgs,2021,3/14/2021,1.778,57.658,73,14,3
318,sgs,2021,3/15/2021,1.27,58.928,74,15,3
319,sgs,2021,3/16/2021,5.08,64.008,75,16,3
320,sgs,2021,3/17/2021,0,64.008,76,17,3
321,sgs,2021,3/18/2021,0,64.008,77,18,3
322,sgs,2021,3/19/2021,0,64.008,78,19,3
323,sgs,2021,3/20/2021,0,64.008,79,20,3
324,sgs,2021,3/21/2021,0,64.008,80,21,3
325,sgs,2021,3/22/2021,0,64.008,81,22,3
326,sgs,2021,3/23/2021,0,64.008,82,23,3
327,sgs,2021,3/24/2021,0,64.008,83,24,3
328,sgs,2021,3/25/2021,0,64.008,84,25,3
329,sgs,2021,3/26/2021,0,64.008,85,26,3
330,sgs,2021,3/27/2021,0,64.008,86,27,3
331,sgs,2021,3/28/2021,0,64.008,87,28,3
332,sgs,2021,3/29/2021,0,64.008,88,29,3
333,sgs,2021,3/30/2021,1.778,65.786,89,30,3
334,sgs,2021,3/31/2021,0,65.786,90,31,3
335,sgs,2021,4/1/2021,0,65.786,91,1,4
336,sgs,2021,4/2/2021,0,65.786,92,2,4
337,sgs,2021,4/3/2021,0,65.786,93,3,4
338,sgs,2021,4/4/2021,0,65.786,94,4,4
339,sgs,2021,4/5/2021,0,65.786,95,5,4
340,sgs,2021,4/6/2021,0,65.786,96,6,4
341,sgs,2021,4/7/2021,0.508,66.294,97,7,4
342,sgs,2021,4/8/2021,0,66.294,98,8,4
343,sgs,2021,4/9/2021,0,66.294,99,9,4
344,sgs,2021,4/10/2021,0,66.294,100,10,4
345,sgs,2021,4/11/2021,0,66.294,101,11,4
346,sgs,2021,4/12/2021,2.286,68.58,102,12,4
347,sgs,2021,4/13/2021,0,68.58,103,13,4
348,sgs,2021,4/14/2021,0,68.58,104,14,4
349,sgs,2021,4/15/2021,0,68.58,105,15,4
350,sgs,2021,4/16/2021,0,68.58,106,16,4
351,sgs,2021,4/17/2021,1.016,69.596,107,17,4
352,sgs,2021,4/18/2021,0,69.596,108,18,4
353,sgs,2021,4/19/2021,0,69.596,109,19,4
354,sgs,2021,4/20/2021,0,69.596,110,20,4
355,sgs,2021,4/21/2021,0,69.596,111,21,4
356,sgs,2021,4/22/2021,0,69.596,112,22,4
357,sgs,2021,4/23/2021,1.016,70.612,113,23,4
358,sgs,2021,4/24/2021,0,70.612,114,24,4
359,sgs,2021,4/25/2021,0,70.612,115,25,4
360,sgs,2021,4/26/2021,0,70.612,116,26,4
361,sgs,2021,4/27/2021,0,70.612,117,27,4
362,sgs,2021,4/28/2021,36.068,106.68,118,28,4
363,sgs,2021,4/29/2021,0.762,107.442,119,29,4
364,sgs,2021,4/30/2021,0,107.442,120,30,4
365,sgs,2021,5/1/2021,0,107.442,121,1,5
366,sgs,2021,5/2/2021,0.762,108.204,122,2,5
367,sgs,2021,5/3/2021,4.064,112.268,123,3,5
368,sgs,2021,5/4/2021,7.366,119.634,124,4,5
369,sgs,2021,5/5/2021,0.254,119.888,125,5,5
370,sgs,2021,5/6/2021,0,119.888,126,6,5
371,sgs,2021,5/7/2021,0,119.888,127,7,5
372,sgs,2021,5/8/2021,0,119.888,128,8,5
373,sgs,2021,5/9/2021,0,119.888,129,9,5
374,sgs,2021,5/10/2021,4.826,124.714,130,10,5
375,sgs,2021,5/11/2021,19.304,144.018,131,11,5
376,sgs,2021,5/12/2021,11.684,155.702,132,12,5
377,sgs,2021,5/13/2021,0,155.702,133,13,5
378,sgs,2021,5/14/2021,0,155.702,134,14,5
379,sgs,2021,5/15/2021,0,155.702,135,15,5
380,sgs,2021,5/16/2021,0.762,156.464,136,16,5
381,sgs,2021,5/17/2021,0,156.464,137,17,5
382,sgs,2021,5/18/2021,3.302,159.766,138,18,5
383,sgs,2021,5/19/2021,0,159.766,139,19,5
384,sgs,2021,5/20/2021,0,159.766,140,20,5
385,sgs,2021,5/21/2021,0,159.766,141,21,5
386,sgs,2021,5/22/2021,0,159.766,142,22,5
387,sgs,2021,5/23/2021,0.254,160.02,143,23,5
388,sgs,2021,5/24/2021,8.636,168.656,144,24,5
389,sgs,2021,5/25/2021,0,168.656,145,25,5
390,sgs,2021,5/26/2021,0,168.656,146,26,5
391,sgs,2021,5/27/2021,0,168.656,147,27,5
392,sgs,2021,5/28/2021,0,168.656,148,28,5
393,sgs,2021,5/29/2021,0,168.656,149,29,5
394,sgs,2021,5/30/2021,0.254,168.91,150,30,5
395,sgs,2021,5/31/2021,14.986,183.896,151,31,5
396,sgs,2021,6/1/2021,0,183.896,152,1,6
397,sgs,2021,6/2/2021,0.508,184.404,153,2,6
398,sgs,2021,6/3/2021,0,184.404,154,3,6
399,sgs,2021,6/4/2021,0,184.404,155,4,6
400,sgs,2021,6/5/2021,0,184.404,156,5,6
401,sgs,2021,6/6/2021,0,184.404,157,6,6
402,sgs,2021,6/7/2021,0,184.404,158,7,6
403,sgs,2021,6/8/2021,10.414,194.818,159,8,6
404,sgs,2021,6/9/2021,0.254,195.072,160,9,6
405,sgs,2021,6/10/2021,0,195.072,161,10,6
406,sgs,2021,6/11/2021,0,195.072,162,11,6
407,sgs,2021,6/12/2021,0,195.072,163,12,6
408,sgs,2021,6/13/2021,0,195.072,164,13,6
409,sgs,2021,6/14/2021,0,195.072,165,14,6
410,sgs,2021,6/15/2021,0,195.072,166,15,6
411,sgs,2021,6/16/2021,0,195.072,167,16,6
412,sgs,2021,6/17/2021,0,195.072,168,17,6
413,sgs,2021,6/18/2021,0,195.072,169,18,6
414,sgs,2021,6/19/2021,0,195.072,170,19,6
415,sgs,2021,6/20/2021,0,195.072,171,20,6
416,sgs,2021,6/21/2021,1.016,196.088,172,21,6
417,sgs,2021,6/22/2021,0.254,196.342,173,22,6
418,sgs,2021,6/23/2021,0.254,196.596,174,23,6
419,sgs,2021,6/24/2021,0,196.596,175,24,6
420,sgs,2021,6/25/2021,2.286,198.882,176,25,6
421,sgs,2021,6/26/2021,1.524,200.406,177,26,6
422,sgs,2021,6/27/2021,0,200.406,178,27,6
423,sgs,2021,6/28/2021,0,200.406,179,28,6
424,sgs,2021,6/29/2021,1.778,202.184,180,29,6
425,sgs,2021,6/30/2021,0.254,202.438,181,30,6
426,sgs,2021,7/1/2021,5.08,207.518,182,1,7
427,sgs,2021,7/2/2021,4.318,211.836,183,2,7
428,sgs,2021,7/3/2021,0,211.836,184,3,7
429,sgs,2021,7/4/2021,2.794,214.63,185,4,7
430,sgs,2021,7/5/2021,0,214.63,186,5,7
431,sgs,2021,7/6/2021,0,214.63,187,6,7
432,sgs,2021,7/7/2021,0,214.63,188,7,7
433,sgs,2021,7/8/2021,0,214.63,189,8,7
434,sgs,2021,7/9/2021,1.524,216.154,190,9,7
435,sgs,2021,7/10/2021,0,216.154,191,10,7
436,sgs,2021,7/11/2021,0,216.154,192,11,7
437,sgs,2021,7/12/2021,0,216.154,193,12,7
438,sgs,2021,7/13/2021,0,216.154,194,13,7
439,sgs,2021,7/14/2021,0,216.154,195,14,7
440,sgs,2021,7/15/2021,5.842,221.996,196,15,7
441,sgs,2021,7/16/2021,0,221.996,197,16,7
442,sgs,2021,7/17/2021,0,221.996,198,17,7
443,sgs,2021,7/18/2021,0,221.996,199,18,7
444,sgs,2021,7/19/2021,0,221.996,200,19,7
445,sgs,2021,7/20/2021,0,221.996,201,20,7
446,sgs,2021,7/21/2021,0,221.996,202,21,7
447,sgs,2021,7/22/2021,0,221.996,203,22,7
448,sgs,2021,7/23/2021,0,221.996,204,23,7
449,sgs,2021,7/24/2021,0,221.996,205,24,7
450,sgs,2021,7/25/2021,0,221.996,206,25,7
451,sgs,2021,7/26/2021,0,221.996,207,26,7
452,sgs,2021,7/27/2021,0,221.996,208,27,7
453,sgs,2021,7/28/2021,0,221.996,209,28,7
454,sgs,2021,7/29/2021,0,221.996,210,29,7
455,sgs,2021,7/30/2021,0,221.996,211,30,7
456,sgs,2021,7/31/2021,0.254,222.25,212,31,7
457,sgs,2021,8/1/2021,2.032,224.282,213,1,8
458,sgs,2021,8/2/2021,0,224.282,214,2,8
459,sgs,2021,8/3/2021,0,224.282,215,3,8
460,sgs,2021,8/4/2021,0,224.282,216,4,8
461,sgs,2021,8/5/2021,0.508,224.79,217,5,8
462,sgs,2021,8/6/2021,0,224.79,218,6,8
463,sgs,2021,8/7/2021,3.048,227.838,219,7,8
464,sgs,2021,8/8/2021,0,227.838,220,8,8
465,sgs,2021,8/9/2021,0,227.838,221,9,8
466,sgs,2021,8/10/2021,0.254,228.092,222,10,8
467,sgs,2021,8/11/2021,0,228.092,223,11,8
468,sgs,2021,8/12/2021,0,228.092,224,12,8
469,sgs,2021,8/13/2021,0,228.092,225,13,8
470,sgs,2021,8/14/2021,0,228.092,226,14,8
471,sgs,2021,8/15/2021,0,228.092,227,15,8
472,sgs,2021,8/16/2021,0,228.092,228,16,8
473,sgs,2021,8/17/2021,0,228.092,229,17,8
474,sgs,2021,8/18/2021,0,228.092,230,18,8
475,sgs,2021,8/19/2021,0,228.092,231,19,8
476,sgs,2021,8/20/2021,1.524,229.616,232,20,8
477,sgs,2021,8/21/2021,6.604,236.22,233,21,8
478,sgs,2021,8/22/2021,0,236.22,234,22,8
479,sgs,2021,8/23/2021,0,236.22,235,23,8
480,sgs,2021,8/24/2021,0,236.22,236,24,8
481,sgs,2021,8/25/2021,0,236.22,237,25,8
482,sgs,2021,8/26/2021,0,236.22,238,26,8
483,sgs,2021,8/27/2021,5.08,241.3,239,27,8
484,sgs,2021,8/28/2021,0.254,241.554,240,28,8
485,sgs,2021,8/29/2021,0,241.554,241,29,8
486,sgs,2021,8/30/2021,0,241.554,242,30,8
487,sgs,2021,8/31/2021,0,241.554,243,31,8
488,sgs,2022,1/1/2022,0,0,1,1,1
489,sgs,2022,1/2/2022,0.254,0.254,2,2,1
490,sgs,2022,1/3/2022,0,0.254,3,3,1
491,sgs,2022,1/4/2022,0,0.254,4,4,1
492,sgs,2022,1/5/2022,0,0.254,5,5,1
493,sgs,2022,1/6/2022,0,0.254,6,6,1
494,sgs,2022,1/7/2022,0,0.254,7,7,1
495,sgs,2022,1/8/2022,0.254,0.508,8,8,1
496,sgs,2022,1/9/2022,0,0.508,9,9,1
497,sgs,2022,1/10/2022,0,0.508,10,10,1
498,sgs,2022,1/11/2022,0,0.508,11,11,1
499,sgs,2022,1/12/2022,0,0.508,12,12,1
500,sgs,2022,1/13/2022,0,0.508,13,13,1
501,sgs,2022,1/14/2022,0,0.508,14,14,1
502,sgs,2022,1/15/2022,0,0.508,15,15,1
503,sgs,2022,1/16/2022,0,0.508,16,16,1
504,sgs,2022,1/17/2022,0,0.508,17,17,1
505,sgs,2022,1/18/2022,0,0.508,18,18,1
506,sgs,2022,1/19/2022,0,0.508,19,19,1
507,sgs,2022,1/20/2022,0,0.508,20,20,1
508,sgs,2022,1/21/2022,0.254,0.762,21,21,1
509,sgs,2022,1/22/2022,0,0.762,22,22,1
510,sgs,2022,1/23/2022,0,0.762,23,23,1
511,sgs,2022,1/24/2022,0,0.762,24,24,1
512,sgs,2022,1/25/2022,0,0.762,25,25,1
513,sgs,2022,1/26/2022,1.27,2.032,26,26,1
514,sgs,2022,1/27/2022,0.254,2.286,27,27,1
515,sgs,2022,1/28/2022,0,2.286,28,28,1
516,sgs,2022,1/29/2022,0,2.286,29,29,1
517,sgs,2022,1/30/2022,0,2.286,30,30,1
518,sgs,2022,1/31/2022,0,2.286,31,31,1
519,sgs,2022,2/1/2022,0,2.286,32,1,2
520,sgs,2022,2/2/2022,0,2.286,33,2,2
521,sgs,2022,2/3/2022,0,2.286,34,3,2
522,sgs,2022,2/4/2022,0.762,3.048,35,4,2
523,sgs,2022,2/5/2022,0,3.048,36,5,2
524,sgs,2022,2/6/2022,0,3.048,37,6,2
525,sgs,2022,2/7/2022,0,3.048,38,7,2
526,sgs,2022,2/8/2022,0,3.048,39,8,2
527,sgs,2022,2/9/2022,0,3.048,40,9,2
528,sgs,2022,2/10/2022,0,3.048,41,10,2
529,sgs,2022,2/11/2022,0,3.048,42,11,2
530,sgs,2022,2/12/2022,0,3.048,43,12,2
531,sgs,2022,2/13/2022,0,3.048,44,13,2
532,sgs,2022,2/14/2022,0,3.048,45,14,2
533,sgs,2022,2/15/2022,0,3.048,46,15,2
534,sgs,2022,2/16/2022,0,3.048,47,16,2
535,sgs,2022,2/17/2022,0.254,3.302,48,17,2
536,sgs,2022,2/18/2022,0.254,3.556,49,18,2
537,sgs,2022,2/19/2022,0,3.556,50,19,2
538,sgs,2022,2/20/2022,0,3.556,51,20,2
539,sgs,2022,2/21/2022,0,3.556,52,21,2
540,sgs,2022,2/22/2022,0,3.556,53,22,2
541,sgs,2022,2/23/2022,0,3.556,54,23,2
542,sgs,2022,2/24/2022,0,3.556,55,24,2
543,sgs,2022,2/25/2022,0.254,3.81,56,25,2
544,sgs,2022,2/26/2022,0,3.81,57,26,2
545,sgs,2022,2/27/2022,0,3.81,58,27,2
546,sgs,2022,2/28/2022,0,3.81,59,28,2
547,sgs,2022,3/1/2022,0,3.81,60,1,3
548,sgs,2022,3/2/2022,0,3.81,61,2,3
549,sgs,2022,3/3/2022,0,3.81,62,3,3
550,sgs,2022,3/4/2022,0,3.81,63,4,3
551,sgs,2022,3/5/2022,0,3.81,64,5,3
552,sgs,2022,3/6/2022,3.048,6.858,65,6,3
553,sgs,2022,3/7/2022,0,6.858,66,7,3
554,sgs,2022,3/8/2022,0,6.858,67,8,3
555,sgs,2022,3/9/2022,0,6.858,68,9,3
556,sgs,2022,3/10/2022,0,6.858,69,10,3
557,sgs,2022,3/11/2022,0,6.858,70,11,3
558,sgs,2022,3/12/2022,0,6.858,71,12,3
559,sgs,2022,3/13/2022,0,6.858,72,13,3
560,sgs,2022,3/14/2022,0,6.858,73,14,3
561,sgs,2022,3/15/2022,0,6.858,74,15,3
562,sgs,2022,3/16/2022,0,6.858,75,16,3
563,sgs,2022,3/17/2022,3.556,10.414,76,17,3
564,sgs,2022,3/18/2022,0,10.414,77,18,3
565,sgs,2022,3/19/2022,0,10.414,78,19,3
566,sgs,2022,3/20/2022,0,10.414,79,20,3
567,sgs,2022,3/21/2022,0,10.414,80,21,3
568,sgs,2022,3/22/2022,0,10.414,81,22,3
569,sgs,2022,3/23/2022,1.016,11.43,82,23,3
570,sgs,2022,3/24/2022,0,11.43,83,24,3
571,sgs,2022,3/25/2022,0,11.43,84,25,3
572,sgs,2022,3/26/2022,0,11.43,85,26,3
573,sgs,2022,3/27/2022,0,11.43,86,27,3
574,sgs,2022,3/28/2022,0,11.43,87,28,3
575,sgs,2022,3/29/2022,0,11.43,88,29,3
576,sgs,2022,3/30/2022,1.016,12.446,89,30,3
577,sgs,2022,3/31/2022,0.254,12.7,90,31,3
578,sgs,2022,4/1/2022,0,12.7,91,1,4
579,sgs,2022,4/2/2022,0,12.7,92,2,4
580,sgs,2022,4/3/2022,0,12.7,93,3,4
581,sgs,2022,4/4/2022,0,12.7,94,4,4
582,sgs,2022,4/5/2022,0,12.7,95,5,4
583,sgs,2022,4/6/2022,17.272,29.972,96,6,4
584,sgs,2022,4/7/2022,1.016,30.988,97,7,4
585,sgs,2022,4/8/2022,7.62,38.608,98,8,4
586,sgs,2022,4/9/2022,0,38.608,99,9,4
587,sgs,2022,4/10/2022,1.778,40.386,100,10,4
588,sgs,2022,4/11/2022,0,40.386,101,11,4
589,sgs,2022,4/12/2022,0,40.386,102,12,4
590,sgs,2022,4/13/2022,0,40.386,103,13,4
591,sgs,2022,4/14/2022,0,40.386,104,14,4
592,sgs,2022,4/15/2022,0,40.386,105,15,4
593,sgs,2022,4/16/2022,0,40.386,106,16,4
594,sgs,2022,4/17/2022,0,40.386,107,17,4
595,sgs,2022,4/18/2022,0,40.386,108,18,4
596,sgs,2022,4/19/2022,0,40.386,109,19,4
597,sgs,2022,4/20/2022,0,40.386,110,20,4
598,sgs,2022,4/21/2022,0,40.386,111,21,4
599,sgs,2022,4/22/2022,0,40.386,112,22,4
600,sgs,2022,4/23/2022,0,40.386,113,23,4
601,sgs,2022,4/24/2022,0,40.386,114,24,4
602,sgs,2022,4/25/2022,0,40.386,115,25,4
603,sgs,2022,4/26/2022,0,40.386,116,26,4
604,sgs,2022,4/27/2022,0,40.386,117,27,4
605,sgs,2022,4/28/2022,0,40.386,118,28,4
606,sgs,2022,4/29/2022,0,40.386,119,29,4
607,sgs,2022,4/30/2022,0,40.386,120,30,4
608,sgs,2022,5/1/2022,0,40.386,121,1,5
609,sgs,2022,5/2/2022,2.286,42.672,122,2,5
610,sgs,2022,5/3/2022,7.62,50.292,123,3,5
611,sgs,2022,5/4/2022,7.112,57.404,124,4,5
612,sgs,2022,5/5/2022,5.334,62.738,125,5,5
613,sgs,2022,5/6/2022,0.254,62.992,126,6,5
614,sgs,2022,5/7/2022,0,62.992,127,7,5
615,sgs,2022,5/8/2022,0,62.992,128,8,5
616,sgs,2022,5/9/2022,1.27,64.262,129,9,5
617,sgs,2022,5/10/2022,0,64.262,130,10,5
618,sgs,2022,5/11/2022,0,64.262,131,11,5
619,sgs,2022,5/12/2022,0,64.262,132,12,5
620,sgs,2022,5/13/2022,0,64.262,133,13,5
621,sgs,2022,5/14/2022,0,64.262,134,14,5
622,sgs,2022,5/15/2022,0,64.262,135,15,5
623,sgs,2022,5/16/2022,0,64.262,136,16,5
624,sgs,2022,5/17/2022,0,64.262,137,17,5
625,sgs,2022,5/18/2022,1.27,65.532,138,18,5
626,sgs,2022,5/19/2022,0,65.532,139,19,5
627,sgs,2022,5/20/2022,0,65.532,140,20,5
628,sgs,2022,5/21/2022,5.842,71.374,141,21,5
629,sgs,2022,5/22/2022,0,71.374,142,22,5
630,sgs,2022,5/23/2022,0.254,71.628,143,23,5
631,sgs,2022,5/24/2022,7.366,78.994,144,24,5
632,sgs,2022,5/25/2022,0,78.994,145,25,5
633,sgs,2022,5/26/2022,0,78.994,146,26,5
634,sgs,2022,5/27/2022,0,78.994,147,27,5
635,sgs,2022,5/28/2022,0,78.994,148,28,5
636,sgs,2022,5/29/2022,0,78.994,149,29,5
637,sgs,2022,5/30/2022,1.27,80.264,150,30,5
638,sgs,2022,5/31/2022,0,80.264,151,31,5
639,sgs,2022,6/1/2022,2.794,83.058,152,1,6
640,sgs,2022,6/2/2022,0,83.058,153,2,6
641,sgs,2022,6/3/2022,0,83.058,154,3,6
642,sgs,2022,6/4/2022,0,83.058,155,4,6
643,sgs,2022,6/5/2022,0,83.058,156,5,6
644,sgs,2022,6/6/2022,0.762,83.82,157,6,6
645,sgs,2022,6/7/2022,0,83.82,158,7,6
646,sgs,2022,6/8/2022,0.254,84.074,159,8,6
647,sgs,2022,6/9/2022,0,84.074,160,9,6
648,sgs,2022,6/10/2022,0,84.074,161,10,6
649,sgs,2022,6/11/2022,0,84.074,162,11,6
650,sgs,2022,6/12/2022,0,84.074,163,12,6
651,sgs,2022,6/13/2022,0,84.074,164,13,6
652,sgs,2022,6/14/2022,0,84.074,165,14,6
653,sgs,2022,6/15/2022,0,84.074,166,15,6
654,sgs,2022,6/16/2022,0,84.074,167,16,6
655,sgs,2022,6/17/2022,0.254,84.328,168,17,6
656,sgs,2022,6/18/2022,0.254,84.582,169,18,6
657,sgs,2022,6/19/2022,0,84.582,170,19,6
658,sgs,2022,6/20/2022,0,84.582,171,20,6
659,sgs,2022,6/21/2022,0,84.582,172,21,6
660,sgs,2022,6/22/2022,0,84.582,173,22,6
661,sgs,2022,6/23/2022,0,84.582,174,23,6
662,sgs,2022,6/24/2022,0,84.582,175,24,6
663,sgs,2022,6/25/2022,0,84.582,176,25,6
664,sgs,2022,6/26/2022,0,84.582,177,26,6
665,sgs,2022,6/27/2022,0,84.582,178,27,6
666,sgs,2022,6/28/2022,3.556,88.138,179,28,6
667,sgs,2022,6/29/2022,0,88.138,180,29,6
668,sgs,2022,6/30/2022,0.508,88.646,181,30,6
669,sgs,2022,7/1/2022,0.254,88.9,182,1,7
670,sgs,2022,7/2/2022,3.556,92.456,183,2,7
671,sgs,2022,7/3/2022,0,92.456,184,3,7
672,sgs,2022,7/4/2022,4.318,96.774,185,4,7
673,sgs,2022,7/5/2022,0,96.774,186,5,7
674,sgs,2022,7/6/2022,1.524,98.298,187,6,7
675,sgs,2022,7/7/2022,5.842,104.14,188,7,7
676,sgs,2022,7/8/2022,0.254,104.394,189,8,7
677,sgs,2022,7/9/2022,0,104.394,190,9,7
678,sgs,2022,7/10/2022,0,104.394,191,10,7
679,sgs,2022,7/11/2022,0,104.394,192,11,7
680,sgs,2022,7/12/2022,0,104.394,193,12,7
681,sgs,2022,7/13/2022,8.382,112.776,194,13,7
682,sgs,2022,7/14/2022,0,112.776,195,14,7
683,sgs,2022,7/15/2022,0,112.776,196,15,7
684,sgs,2022,7/16/2022,1.016,113.792,197,16,7
685,sgs,2022,7/17/2022,1.27,115.062,198,17,7
686,sgs,2022,7/18/2022,0,115.062,199,18,7
687,sgs,2022,7/19/2022,0,115.062,200,19,7
688,sgs,2022,7/20/2022,0,115.062,201,20,7
689,sgs,2022,7/21/2022,0,115.062,202,21,7
690,sgs,2022,7/22/2022,0,115.062,203,22,7
691,sgs,2022,7/23/2022,0,115.062,204,23,7
692,sgs,2022,7/24/2022,3.556,118.618,205,24,7
693,sgs,2022,7/25/2022,0,118.618,206,25,7
694,sgs,2022,7/26/2022,0,118.618,207,26,7
695,sgs,2022,7/27/2022,0,118.618,208,27,7
696,sgs,2022,7/28/2022,20.32,138.938,209,28,7
697,sgs,2022,7/29/2022,12.446,151.384,210,29,7
698,sgs,2022,7/30/2022,0,151.384,211,30,7
699,sgs,2022,7/31/2022,0,151.384,212,31,7
700,sgs,2022,8/1/2022,0,151.384,213,1,8
701,sgs,2022,8/2/2022,0,151.384,214,2,8
702,sgs,2022,8/3/2022,0,151.384,215,3,8
703,sgs,2022,8/4/2022,0.254,151.638,216,4,8
704,sgs,2022,8/5/2022,0,151.638,217,5,8
705,sgs,2022,8/6/2022,0,151.638,218,6,8
706,sgs,2022,8/7/2022,0,151.638,219,7,8
707,sgs,2022,8/8/2022,2.54,154.178,220,8,8
708,sgs,2022,8/9/2022,0,154.178,221,9,8
709,sgs,2022,8/10/2022,0,154.178,222,10,8
710,sgs,2022,8/11/2022,0,154.178,223,11,8
711,sgs,2022,8/12/2022,0,154.178,224,12,8
712,sgs,2022,8/13/2022,0,154.178,225,13,8
713,sgs,2022,8/14/2022,0,154.178,226,14,8
714,sgs,2022,8/15/2022,10.16,164.338,227,15,8
715,sgs,2022,8/16/2022,4.826,169.164,228,16,8
716,sgs,2022,8/17/2022,0,169.164,229,17,8
717,sgs,2022,8/18/2022,0,169.164,230,18,8
718,sgs,2022,8/19/2022,0,169.164,231,19,8
719,sgs,2022,8/20/2022,0,169.164,232,20,8
720,sgs,2022,8/21/2022,0,169.164,233,21,8
721,sgs,2022,8/22/2022,0,169.164,234,22,8
722,sgs,2022,8/23/2022,0,169.164,235,23,8
723,sgs,2022,8/24/2022,0,169.164,236,24,8
724,sgs,2022,8/25/2022,0,169.164,237,25,8
725,sgs,2022,8/26/2022,0,169.164,238,26,8
726,sgs,2022,8/27/2022,0,169.164,239,27,8
727,sgs,2022,8/28/2022,0,169.164,240,28,8
728,sgs,2022,8/29/2022,0,169.164,241,29,8
729,sgs,2022,8/30/2022,0,169.164,242,30,8
730,sgs,2022,8/31/2022,0,169.164,243,31,8
