block,plot,site,treatment,year,species,cover,nitrogen
A,1,sgs,nitrogen,2021,Carex eleocharis,1,30
A,1,sgs,nitrogen,2021,Bromus tectorum,4,30
A,1,sgs,nitrogen,2021,Chenopodium sp.,3,30
A,1,sgs,nitrogen,2021,Euphorbia sp.,1,30
A,1,sgs,nitrogen,2021,Elymus elymoides,60,30
A,1,sgs,nitrogen,2021,Oenothera albicaulis,1,30
A,1,sgs,nitrogen,2021,Sphaeralcea coccinea,1,30
A,1,sgs,nitrogen,2021,Thelesperma filifolium,1,30
A,2,sgs,nitrogen,2021,Lepidium densiflorum,2,20
A,2,sgs,nitrogen,2021,Oenothera albicaulis,2,20
A,2,sgs,nitrogen,2021,Plantago patagonica,1,20
A,2,sgs,nitrogen,2021,Salsola tragus,13,20
A,2,sgs,nitrogen,2021,Thelesperma filifolium,2,20
A,2,sgs,nitrogen,2021,Euphorbia sp.,1,20
A,2,sgs,nitrogen,2021,Sphaeralcea coccinea,10,20
A,2,sgs,nitrogen,2021,Chenopodium sp.,30,20
A,2,sgs,nitrogen,2021,Bromus tectorum,2,20
A,2,sgs,nitrogen,2021,Elymus elymoides,30,20
A,2,sgs,nitrogen,2021,Sporobolus cryptandrus,1,20
A,2,sgs,nitrogen,2021,Carex eleocharis,2,20
A,3,sgs,nitrogen,2021,Carex eleocharis,10,10
A,3,sgs,nitrogen,2021,Vulpia octoflora,12,10
A,3,sgs,nitrogen,2021,Chenopodium sp.,25,10
A,3,sgs,nitrogen,2021,Elymus elymoides,25,10
A,3,sgs,nitrogen,2021,Euphorbia sp.,1,10
A,3,sgs,nitrogen,2021,Lepidium densiflorum,1,10
A,3,sgs,nitrogen,2021,Echinocereus viridiflora,1,10
A,3,sgs,nitrogen,2021,Sphaeralcea coccinea,15,10
A,3,sgs,nitrogen,2021,Plantago patagonica,1,10
A,3,sgs,nitrogen,2021,Oenothera albicaulis,2,10
A,4,sgs,nitrogen,2021,Sphaeralcea coccinea,7,15
A,4,sgs,nitrogen,2021,Carex eleocharis,15,15
A,4,sgs,nitrogen,2021,Chenopodium sp.,3,15
A,4,sgs,nitrogen,2021,Euphorbia sp.,1,15
A,4,sgs,nitrogen,2021,Plantago patagonica,1,15
A,4,sgs,nitrogen,2021,Elymus elymoides,50,15
A,4,sgs,nitrogen,2021,Vulpia octoflora,3,15
A,5,sgs,nitrogen,2021,Sphaeralcea coccinea,2,5
A,5,sgs,nitrogen,2021,Carex filifolia,2,5
A,5,sgs,nitrogen,2021,Vulpia octoflora,4,5
A,5,sgs,nitrogen,2021,Sisymbrium altissimum,9,5
A,5,sgs,nitrogen,2021,Picradeniopsis oppositifolia,1,5
A,5,sgs,nitrogen,2021,Elymus elymoides,3,5
A,5,sgs,nitrogen,2021,Bromus tectorum,100,5
A,6,sgs,nitrogen,2021,Sisymbrium altissimum,20,0
A,6,sgs,nitrogen,2021,Sphaeralcea coccinea,1,0
A,6,sgs,nitrogen,2021,Lepidium densiflorum,1,0
A,6,sgs,nitrogen,2021,Opuntia polyacantha,6,0
A,6,sgs,nitrogen,2021,Carex filifolia,2,0
A,6,sgs,nitrogen,2021,Carex eleocharis,6,0
A,6,sgs,nitrogen,2021,Bouteloua gracilis,1,0
A,6,sgs,nitrogen,2021,Elymus elymoides,22,0
A,6,sgs,nitrogen,2021,Vulpia octoflora,70,0
A,6,sgs,nitrogen,2021,Bromus tectorum,3,0
A,7,sgs,nitrogen,2021,Sphaeralcea coccinea,10,7.5
A,7,sgs,nitrogen,2021,Vulpia octoflora,8,7.5
A,7,sgs,nitrogen,2021,Carex eleocharis,6,7.5
A,7,sgs,nitrogen,2021,Chenopodium sp.,1,7.5
A,7,sgs,nitrogen,2021,Elymus elymoides,60,7.5
A,7,sgs,nitrogen,2021,Bromus tectorum,40,7.5
A,8,sgs,nitrogen,2021,Vulpia octoflora,75,2.5
A,8,sgs,nitrogen,2021,Sphaeralcea coccinea,2,2.5
A,8,sgs,nitrogen,2021,Euphorbia sp.,1,2.5
A,8,sgs,nitrogen,2021,Elymus elymoides,25,2.5
B,10,sgs,nitrogen,2021,Vulpia octoflora,85,2.5
B,10,sgs,nitrogen,2021,Elymus elymoides,3,2.5
B,10,sgs,nitrogen,2021,Sphaeralcea coccinea,7,2.5
B,10,sgs,nitrogen,2021,Chenopodium sp.,4,2.5
B,10,sgs,nitrogen,2021,Bromus tectorum,12,2.5
B,10,sgs,nitrogen,2021,Sisymbrium altissimum,8,2.5
B,11,sgs,nitrogen,2021,Sphaeralcea coccinea,7,7.5
B,11,sgs,nitrogen,2021,Opuntia polyacantha,4,7.5
B,11,sgs,nitrogen,2021,Chenopodium sp.,2,7.5
B,11,sgs,nitrogen,2021,Vulpia octoflora,70,7.5
B,11,sgs,nitrogen,2021,Elymus elymoides,35,7.5
B,11,sgs,nitrogen,2021,Bromus tectorum,3,7.5
B,12,sgs,nitrogen,2021,Mirabilis linearis,1,20
B,12,sgs,nitrogen,2021,Oenothera albicaulis,2,20
B,12,sgs,nitrogen,2021,Vulpia octoflora,15,20
B,12,sgs,nitrogen,2021,Carex eleocharis,2,20
B,12,sgs,nitrogen,2021,Sporobolus cryptandrus,1,20
B,12,sgs,nitrogen,2021,Chenopodium sp.,31,20
B,12,sgs,nitrogen,2021,Elymus elymoides,12,20
B,12,sgs,nitrogen,2021,Koelaria macrantha,2,20
B,12,sgs,nitrogen,2021,Bouteloua gracilis,1,20
B,12,sgs,nitrogen,2021,Bromus tectorum,5,20
B,13,sgs,nitrogen,2021,Carex eleocharis,2,5
B,13,sgs,nitrogen,2021,Chenopodium sp.,2,5
B,13,sgs,nitrogen,2021,Sphaeralcea coccinea,35,5
B,13,sgs,nitrogen,2021,Vulpia octoflora,30,5
B,13,sgs,nitrogen,2021,Elymus elymoides,23,5
B,14,sgs,nitrogen,2021,Vulpia octoflora,1,30
B,14,sgs,nitrogen,2021,Bromus tectorum,100,30
B,14,sgs,nitrogen,2021,Elymus elymoides,27,30
B,15,sgs,nitrogen,2021,Vulpia octoflora,1,10
B,15,sgs,nitrogen,2021,Chenopodium sp.,25,10
B,15,sgs,nitrogen,2021,Elymus elymoides,50,10
B,15,sgs,nitrogen,2021,Carex eleocharis,1,10
B,15,sgs,nitrogen,2021,Lepidium densiflorum,6,10
B,15,sgs,nitrogen,2021,Bromus tectorum,17,10
B,15,sgs,nitrogen,2021,Sphaeralcea coccinea,4,10
B,15,sgs,nitrogen,2021,Sisymbrium altissimum,2,10
B,15,sgs,nitrogen,2021,Lappula sp.,9,10
B,16,sgs,nitrogen,2021,Salsola tragus,2,15
B,16,sgs,nitrogen,2021,Sisymbrium altissimum,1,15
B,16,sgs,nitrogen,2021,Elymus elymoides,50,15
B,16,sgs,nitrogen,2021,Vulpia octoflora,3,15
B,16,sgs,nitrogen,2021,Carex eleocharis,1,15
B,16,sgs,nitrogen,2021,Chenopodium sp.,55,15
B,16,sgs,nitrogen,2021,Opuntia polyacantha,1,15
B,16,sgs,nitrogen,2021,Sphaeralcea coccinea,8,15
B,16,sgs,nitrogen,2021,Bromus tectorum,3,15
B,9,sgs,nitrogen,2021,Carex eleocharis,8,0
B,9,sgs,nitrogen,2021,Sphaeralcea coccinea,15,0
B,9,sgs,nitrogen,2021,Bouteloua gracilis,1,0
B,9,sgs,nitrogen,2021,Elymus elymoides,70,0
B,9,sgs,nitrogen,2021,Vulpia octoflora,60,0
B,9,sgs,nitrogen,2021,Psoralea tenuiflora,3,0
B,9,sgs,nitrogen,2021,Chenopodium sp.,1,0
C,17,sgs,nitrogen,2021,Opuntia polyacantha,2,5
C,17,sgs,nitrogen,2021,Sphaeralcea coccinea,2,5
C,17,sgs,nitrogen,2021,Chenopodium sp.,1,5
C,17,sgs,nitrogen,2021,Elymus elymoides,70,5
C,18,sgs,nitrogen,2021,Sisymbrium altissimum,1,20
C,18,sgs,nitrogen,2021,Sphaeralcea coccinea,16,20
C,18,sgs,nitrogen,2021,Oenothera albicaulis,1,20
C,18,sgs,nitrogen,2021,Vulpia octoflora,2,20
C,18,sgs,nitrogen,2021,Elymus elymoides,60,20
C,18,sgs,nitrogen,2021,Bromus tectorum,2,20
C,19,sgs,nitrogen,2021,Sisymbrium altissimum,30,10
C,19,sgs,nitrogen,2021,Picradeniopsis oppositifolia,3,10
C,19,sgs,nitrogen,2021,Sphaeralcea coccinea,4,10
C,19,sgs,nitrogen,2021,Chenopodium sp.,2,10
C,19,sgs,nitrogen,2021,Carex eleocharis,1,10
C,19,sgs,nitrogen,2021,Vulpia octoflora,75,10
C,19,sgs,nitrogen,2021,Elymus elymoides,30,10
C,20,sgs,nitrogen,2021,Oenothera albicaulis,1,30
C,20,sgs,nitrogen,2021,Sisymbrium altissimum,3,30
C,20,sgs,nitrogen,2021,Euphorbia sp.,5,30
C,20,sgs,nitrogen,2021,Bromus tectorum,1,30
C,20,sgs,nitrogen,2021,Elymus elymoides,40,30
C,20,sgs,nitrogen,2021,Chenopodium sp.,10,30
C,20,sgs,nitrogen,2021,Conyza canadensis,1,30
C,21,sgs,nitrogen,2021,Elymus elymoides,25,0
C,21,sgs,nitrogen,2021,Vulpia octoflora,60,0
C,21,sgs,nitrogen,2021,Chenopodium sp.,1,0
C,21,sgs,nitrogen,2021,Sporobolus cryptandrus,2,0
C,21,sgs,nitrogen,2021,Carex eleocharis,2,0
C,21,sgs,nitrogen,2021,Sphaeralcea coccinea,6,0
C,22,sgs,nitrogen,2021,Carex eleocharis,37,2.5
C,22,sgs,nitrogen,2021,Vulpia octoflora,25,2.5
C,22,sgs,nitrogen,2021,Picradeniopsis oppositifolia,2,2.5
C,22,sgs,nitrogen,2021,Chenopodium sp.,1,2.5
C,22,sgs,nitrogen,2021,Bromus tectorum,2,2.5
C,22,sgs,nitrogen,2021,Elymus elymoides,50,2.5
C,23,sgs,nitrogen,2021,Bromus tectorum,20,7.5
C,23,sgs,nitrogen,2021,Elymus elymoides,20,7.5
C,23,sgs,nitrogen,2021,Vulpia octoflora,60,7.5
C,23,sgs,nitrogen,2021,Euphorbia sp.,2,7.5
C,23,sgs,nitrogen,2021,Sphaeralcea coccinea,2,7.5
C,23,sgs,nitrogen,2021,Sisymbrium altissimum,80,7.5
C,24,sgs,nitrogen,2021,Sisymbrium altissimum,40,15
C,24,sgs,nitrogen,2021,Chenopodium sp.,75,15
C,24,sgs,nitrogen,2021,Euphorbia sp.,1,15
C,24,sgs,nitrogen,2021,Sporobolus cryptandrus,1,15
C,24,sgs,nitrogen,2021,Vulpia octoflora,4,15
C,24,sgs,nitrogen,2021,Elymus elymoides,6,15
C,24,sgs,nitrogen,2021,Bromus tectorum,2,15
D,25,sgs,nitrogen,2021,Vulpia octoflora,55,2.5
D,25,sgs,nitrogen,2021,Ericameria nauseosa,15,2.5
D,25,sgs,nitrogen,2021,Sisymbrium altissimum,25,2.5
D,25,sgs,nitrogen,2021,Elymus elymoides,22,2.5
D,26,sgs,nitrogen,2021,Sphaeralcea coccinea,1,5
D,26,sgs,nitrogen,2021,Elymus elymoides,40,5
D,26,sgs,nitrogen,2021,Vulpia octoflora,60,5
D,26,sgs,nitrogen,2021,Chenopodium sp.,1,5
D,26,sgs,nitrogen,2021,Sisymbrium altissimum,2,5
D,27,sgs,nitrogen,2021,Sphaeralcea coccinea,5,15
D,27,sgs,nitrogen,2021,Lepidium densiflorum,2,15
D,27,sgs,nitrogen,2021,Elymus elymoides,45,15
D,27,sgs,nitrogen,2021,Bromus tectorum,1,15
D,27,sgs,nitrogen,2021,Euphorbia sp.,7,15
D,27,sgs,nitrogen,2021,Vulpia octoflora,2,15
D,27,sgs,nitrogen,2021,Chenopodium sp.,8,15
D,28,sgs,nitrogen,2021,Sisymbrium altissimum,2,7.5
D,28,sgs,nitrogen,2021,Sphaeralcea coccinea,6,7.5
D,28,sgs,nitrogen,2021,Euphorbia sp.,2,7.5
D,28,sgs,nitrogen,2021,Oenothera albicaulis,1,7.5
D,28,sgs,nitrogen,2021,Chenopodium sp.,2,7.5
D,28,sgs,nitrogen,2021,Vulpia octoflora,10,7.5
D,28,sgs,nitrogen,2021,Elymus elymoides,70,7.5
D,29,sgs,nitrogen,2021,Sphaeralcea coccinea,7,30
D,29,sgs,nitrogen,2021,Vulpia octoflora,1,30
D,29,sgs,nitrogen,2021,Chenopodium sp.,1,30
D,29,sgs,nitrogen,2021,Elymus elymoides,20,30
D,29,sgs,nitrogen,2021,Sisymbrium altissimum,10,30
D,29,sgs,nitrogen,2021,Bromus tectorum,1,30
D,29,sgs,nitrogen,2021,Lepidium densiflorum,1,30
D,30,sgs,nitrogen,2021,Elymus elymoides,65,0
D,30,sgs,nitrogen,2021,Scutellaria galericulata,6,0
D,30,sgs,nitrogen,2021,Vulpia octoflora,60,0
D,30,sgs,nitrogen,2021,Sphaeralcea coccinea,2,0
D,31,sgs,nitrogen,2021,Sisymbrium altissimum,1,10
D,31,sgs,nitrogen,2021,Chenopodium sp.,2,10
D,31,sgs,nitrogen,2021,Eriogonum effusum,5,10
D,31,sgs,nitrogen,2021,Sphaeralcea coccinea,1,10
D,31,sgs,nitrogen,2021,Bromus tectorum,5,10
D,31,sgs,nitrogen,2021,Carex eleocharis,3,10
D,31,sgs,nitrogen,2021,Vulpia octoflora,1,10
D,31,sgs,nitrogen,2021,Elymus elymoides,40,10
D,32,sgs,nitrogen,2021,Sisymbrium altissimum,10,20
D,32,sgs,nitrogen,2021,Sporobolus cryptandrus,1,20
D,32,sgs,nitrogen,2021,Sphaeralcea coccinea,10,20
D,32,sgs,nitrogen,2021,Vulpia octoflora,4,20
D,32,sgs,nitrogen,2021,Chenopodium sp.,22,20
D,32,sgs,nitrogen,2021,Euphorbia sp.,5,20
D,32,sgs,nitrogen,2021,Elymus elymoides,30,20
E,33,sgs,nitrogen,2021,Carex eleocharis,10,0
E,33,sgs,nitrogen,2021,Sisymbrium altissimum,2,0
E,33,sgs,nitrogen,2021,Euphorbia sp.,4,0
E,33,sgs,nitrogen,2021,Vulpia octoflora,70,0
E,33,sgs,nitrogen,2021,Bouteloua gracilis,1,0
E,33,sgs,nitrogen,2021,Elymus elymoides,3,0
E,33,sgs,nitrogen,2021,Cryptantha minima,1,0
E,33,sgs,nitrogen,2021,Opuntia polyacantha,2,0
E,33,sgs,nitrogen,2021,Sphaeralcea coccinea,2,0
E,33,sgs,nitrogen,2021,Agropyron smithii,18,0
E,34,sgs,nitrogen,2021,Sphaeralcea coccinea,3,20
E,34,sgs,nitrogen,2021,Eriosema sp.,2,20
E,34,sgs,nitrogen,2021,Euphorbia sp.,1,20
E,34,sgs,nitrogen,2021,Agropyron smithii,7,20
E,34,sgs,nitrogen,2021,Bromus tectorum,90,20
E,34,sgs,nitrogen,2021,Elymus elymoides,6,20
E,34,sgs,nitrogen,2021,Vulpia octoflora,1,20
E,35,sgs,nitrogen,2021,Euphorbia sp.,5,30
E,35,sgs,nitrogen,2021,Salsola tragus,25,30
E,35,sgs,nitrogen,2021,Chenopodium sp.,55,30
E,35,sgs,nitrogen,2021,Elymus elymoides,21,30
E,36,sgs,nitrogen,2021,Opuntia polyacantha,7,5
E,36,sgs,nitrogen,2021,Plantago patagonica,1,5
E,36,sgs,nitrogen,2021,Sphaeralcea coccinea,5,5
E,36,sgs,nitrogen,2021,Chenopodium sp.,1,5
E,36,sgs,nitrogen,2021,Vulpia octoflora,1,5
E,36,sgs,nitrogen,2021,Carex eleocharis,11,5
E,36,sgs,nitrogen,2021,Bromus tectorum,4,5
E,36,sgs,nitrogen,2021,Elymus elymoides,30,5
E,37,sgs,nitrogen,2021,Picradeniopsis oppositifolia,3,2.5
E,37,sgs,nitrogen,2021,Elymus elymoides,25,2.5
E,37,sgs,nitrogen,2021,Vulpia octoflora,90,2.5
E,37,sgs,nitrogen,2021,Sphaeralcea coccinea,3,2.5
E,37,sgs,nitrogen,2021,Salsola tragus,6,2.5
E,37,sgs,nitrogen,2021,Carex eleocharis,1,2.5
E,37,sgs,nitrogen,2021,Bromus tectorum,5,2.5
E,38,sgs,nitrogen,2021,Sphaeralcea coccinea,35,15
E,38,sgs,nitrogen,2021,Plantago patagonica,1,15
E,38,sgs,nitrogen,2021,Oenothera albicaulis,2,15
E,38,sgs,nitrogen,2021,Lepidium densiflorum,1,15
E,38,sgs,nitrogen,2021,Euphorbia sp.,4,15
E,38,sgs,nitrogen,2021,Chenopodium sp.,35,15
E,38,sgs,nitrogen,2021,Elymus elymoides,18,15
E,38,sgs,nitrogen,2021,Vulpia octoflora,1,15
E,38,sgs,nitrogen,2021,Carex eleocharis,4,15
E,39,sgs,nitrogen,2021,Sphaeralcea coccinea,28,7.5
E,39,sgs,nitrogen,2021,Plantago patagonica,1,7.5
E,39,sgs,nitrogen,2021,Lepidium densiflorum,1,7.5
E,39,sgs,nitrogen,2021,Chenopodium sp.,60,7.5
E,39,sgs,nitrogen,2021,Euphorbia sp.,4,7.5
E,39,sgs,nitrogen,2021,Elymus elymoides,11,7.5
E,39,sgs,nitrogen,2021,Vulpia octoflora,7,7.5
E,40,sgs,nitrogen,2021,Sphaeralcea coccinea,7,10
E,40,sgs,nitrogen,2021,Elymus elymoides,45,10
E,40,sgs,nitrogen,2021,Chenopodium sp.,2,10
E,40,sgs,nitrogen,2021,Lepidium densiflorum,1,10
E,40,sgs,nitrogen,2021,Opuntia polyacantha,9,10
E,40,sgs,nitrogen,2021,Euphorbia sp.,4,10
E,40,sgs,nitrogen,2021,Carex eleocharis,4,10
F,41,sgs,nitrogen,2021,Lepidium densiflorum,1,20
F,41,sgs,nitrogen,2021,Picradeniopsis oppositifolia,1,20
F,41,sgs,nitrogen,2021,Opuntia polyacantha,1,20
F,41,sgs,nitrogen,2021,Sphaeralcea coccinea,2,20
F,41,sgs,nitrogen,2021,Euphorbia sp.,1,20
F,41,sgs,nitrogen,2021,Salsola tragus,10,20
F,41,sgs,nitrogen,2021,Chenopodium sp.,2,20
F,41,sgs,nitrogen,2021,Bouteloua gracilis,1,20
F,41,sgs,nitrogen,2021,Bromus tectorum,45,20
F,41,sgs,nitrogen,2021,Elymus elymoides,35,20
F,42,sgs,nitrogen,2021,Sphaeralcea coccinea,1,30
F,42,sgs,nitrogen,2021,Salsola tragus,9,30
F,42,sgs,nitrogen,2021,Euphorbia sp.,1,30
F,42,sgs,nitrogen,2021,Picradeniopsis oppositifolia,1,30
F,42,sgs,nitrogen,2021,Chenopodium sp.,8,30
F,42,sgs,nitrogen,2021,Elymus elymoides,60,30
F,43,sgs,nitrogen,2021,Vulpia octoflora,10,5
F,43,sgs,nitrogen,2021,Bromus tectorum,15,5
F,43,sgs,nitrogen,2021,Elymus elymoides,75,5
F,44,sgs,nitrogen,2021,Lepidium densiflorum,1,10
F,44,sgs,nitrogen,2021,Chenopodium sp.,2,10
F,44,sgs,nitrogen,2021,Sphaeralcea coccinea,1,10
F,44,sgs,nitrogen,2021,Sisymbrium altissimum,1,10
F,44,sgs,nitrogen,2021,Vulpia octoflora,1,10
F,44,sgs,nitrogen,2021,Elymus elymoides,65,10
F,45,sgs,nitrogen,2021,Lepidium densiflorum,2,0
F,45,sgs,nitrogen,2021,Sphaeralcea coccinea,2,0
F,45,sgs,nitrogen,2021,Eriogonum effusum,20,0
F,45,sgs,nitrogen,2021,Vulpia octoflora,25,0
F,45,sgs,nitrogen,2021,Carex eleocharis,4,0
F,45,sgs,nitrogen,2021,Chenopodium sp.,1,0
F,45,sgs,nitrogen,2021,Elymus elymoides,45,0
F,46,sgs,nitrogen,2021,Bromus tectorum,10,7.5
F,46,sgs,nitrogen,2021,Elymus elymoides,30,7.5
F,46,sgs,nitrogen,2021,Salsola tragus,1,7.5
F,46,sgs,nitrogen,2021,Vulpia octoflora,1,7.5
F,46,sgs,nitrogen,2021,Carex eleocharis,5,7.5
F,46,sgs,nitrogen,2021,Euphorbia sp.,1,7.5
F,46,sgs,nitrogen,2021,Opuntia polyacantha,2,7.5
F,46,sgs,nitrogen,2021,Sphaeralcea coccinea,5,7.5
F,47,sgs,nitrogen,2021,Elymus elymoides,60,15
F,47,sgs,nitrogen,2021,Vulpia octoflora,1,15
F,47,sgs,nitrogen,2021,Chenopodium sp.,2,15
F,47,sgs,nitrogen,2021,Opuntia polyacantha,7,15
F,47,sgs,nitrogen,2021,Sphaeralcea coccinea,1,15
F,48,sgs,nitrogen,2021,Bromus tectorum,55,2.5
F,48,sgs,nitrogen,2021,Elymus elymoides,15,2.5
F,48,sgs,nitrogen,2021,Vulpia octoflora,60,2.5
F,48,sgs,nitrogen,2021,Carex eleocharis,2,2.5
F,48,sgs,nitrogen,2021,Sphaeralcea coccinea,1,2.5
A,1,sgs,pulse press 1,2021,Chenopodium sp.,50,30
A,1,sgs,pulse press 1,2021,Vulpia octoflora,1,30
A,1,sgs,pulse press 1,2021,Euphorbia sp.,3,30
A,1,sgs,pulse press 1,2021,Elymus elymoides,39,30
A,1,sgs,pulse press 1,2021,Sporobolus cryptandrus,1,30
A,1,sgs,pulse press 1,2021,Thelesperma filifolium,2,30
A,1,sgs,pulse press 1,2021,Sphaeralcea coccinea,8,30
